0 4 8 12 16 102.528 101.193 100 63.2456 59.4643 
4 0 4 8 12 104 102.528 101.193 67.0522 63.2456 
8 4 0 4 8 105.603 104 102.528 70.8802 67.0522 
12 8 4 0 4 107.331 105.603 104 74.7262 70.8802 
16 12 8 4 0 109.179 107.331 105.603 78.5875 74.7262 
102.528 104 105.603 107.331 109.179 0 4 8 118.457 117.712 
101.193 102.528 104 105.603 107.331 4 0 4 119.331 118.457 
100 101.193 102.528 104 105.603 8 4 0 120.333 119.331 
63.2456 67.0522 70.8802 74.7262 78.5875 118.457 119.331 120.333 0 4 
59.4643 63.2456 67.0522 70.8802 74.7262 117.712 118.457 119.331 4 0 
